RANK,SITE,#THIRD_URL-cookie-get,#THIRD_DOMAIN-cookie-get,#THIRD_URL-cookie-set,#THIRD_DOMAIN-cookie-set,#THIRD_URL-cookie,#THIRD_DOMAIN-cookie,#THIRD_URL-DOM,#THIRD_DOMAIN-DOM,#THIRD_URL-NET,#THIRD_DOMAIN-NET
948,"cfsbcn.com",2,2,2,2,2,2,0,0,0,0
949,"nownews.com",3,3,3,3,3,3,2,1,1,1
950,"julian-fashion.com",1,1,1,1,1,1,0,0,0,0
951,"celine.com",5,5,5,5,5,5,0,0,2,1
953,"spiegel.de",1,1,1,1,1,1,0,0,1,1
954,"telugustop.com",3,2,3,2,3,2,3,3,0,0
956,"azertag.az",2,1,2,1,2,1,0,0,0,0
957,"freee.co.jp",20,13,20,13,20,13,5,3,1,1
959,"modesens.com",5,3,5,3,5,3,7,1,2,2
960,"femme4.com",2,2,2,2,2,2,0,0,1,1
961,"thefreedictionary.com",1,1,1,1,1,1,3,3,0,0
962,"snappea.com",3,3,3,3,3,3,0,0,1,1
963,"invisionapp.com",3,3,3,3,3,3,0,0,3,2
964,"brilio.net",3,3,3,3,3,3,3,3,2,2
965,"onlinedown.net",2,2,2,2,2,2,1,1,0,0
966,"majestic.com",3,2,3,2,3,2,6,4,1,1
968,"redeao.com",1,1,1,1,1,1,0,0,0,0
969,"ojooo.com",2,2,2,2,2,2,6,2,0,0
970,"statcounter.com",1,1,1,1,1,1,0,0,0,0
971,"aruba.it",1,1,1,1,1,1,9,2,0,0
973,"jio.com",1,1,1,1,1,1,2,1,1,1
974,"khanacademy.org",1,1,1,1,1,1,0,0,0,0
975,"trulia.com",4,4,4,4,4,4,4,1,1,1
976,"mynet.com",3,3,3,3,3,3,2,2,1,1
980,"readmanganato.com",0,0,0,0,0,0,2,2,0,0
983,"ecosia.org",5,2,5,2,5,2,3,1,1,1
984,"getintopc.com",0,0,0,0,0,0,3,3,0,0
987,"ahrefs.com",1,1,1,1,1,1,3,1,2,1
991,"huawei.com",11,7,11,7,11,7,1,1,3,2
992,"huya.com",3,2,3,2,3,2,2,1,4,2
993,"fendi.com",6,5,6,5,6,5,1,1,2,2
994,"battle.net",1,1,1,1,1,1,1,1,1,1
995,"banggood.com",8,4,8,4,8,4,1,1,0,0
996,"fnb.co.za",1,1,1,1,1,1,0,0,0,0
997,"inews.id",6,3,6,3,6,3,3,2,2,2
999,"figma.com",2,2,2,2,2,2,2,1,0,0
1000,"bedbathandbeyond.com",1,1,1,1,1,1,1,1,1,1
